@relation 'Frequency (Hz) vs Intensity (dB)'

@attribute Frequency numeric
@attribute Intensity numeric

@data
307.69231, 0.18281
2646.15385, 0.23606
738.46154, 0.13619
184.61538, 0.12439
369.23077, 0.12550
2707.69231, 0.12382
1169.23077, 0.14866
61.53846, 0.13651
2338.46154, 0.21110
430.76923, 0.26098
430.76923, 0.19732
430.76923, 0.25804
369.23077, 0.25705
430.76923, 0.20775
1907.69231, 0.25893
430.76923, 0.28694
369.23077, 0.18641
430.76923, 0.27507
430.76923, 0.44244
430.76923, 0.19128
430.76923, 0.35387
738.46154, 0.28131
492.30769, 0.20655
492.30769, 0.36143
369.23077, 0.35629
430.76923, 0.44333
430.76923, 0.26966
430.76923, 0.23544
369.23077, 0.30227
676.92308, 0.28665
430.76923, 0.29475
430.76923, 0.28235
369.23077, 0.25364
430.76923, 0.31815
492.30769, 0.22523
430.76923, 0.31540
369.23077, 0.25409
492.30769, 0.22145
676.92308, 0.30163
430.76923, 0.23578
430.76923, 0.29583
369.23077, 0.25506
430.76923, 0.23055
430.76923, 0.24600
430.76923, 0.28139
430.76923, 0.34392
369.23077, 0.28090
430.76923, 0.33437
430.76923, 0.33219
738.46154, 0.24323
430.76923, 0.23200
430.76923, 0.31624
430.76923, 0.34042
430.76923, 0.31228
492.30769, 0.21476
430.76923, 0.33829
369.23077, 0.48277
430.76923, 0.30608
369.23077, 0.34482
430.76923, 0.36853
430.76923, 0.29157
430.76923, 0.30541
369.23077, 0.23290
430.76923, 0.24682
369.23077, 0.31127
615.38462, 0.28128
430.76923, 0.35903
430.76923, 0.26119
430.76923, 0.29391
369.23077, 0.33857
430.76923, 0.27491
369.23077, 0.19300
369.23077, 0.26822
430.76923, 0.23521
492.30769, 0.32601
492.30769, 0.22406
430.76923, 0.25096
492.30769, 0.26580
492.30769, 0.27820
430.76923, 0.23533
430.76923, 0.32091
369.23077, 0.41042
430.76923, 0.31416
430.76923, 0.33528
430.76923, 0.37460
430.76923, 0.42783
430.76923, 0.33421
1169.23077, 0.23440
800.00000, 0.21378
430.76923, 0.38073
492.30769, 0.19608
430.76923, 0.30567
430.76923, 0.49971
430.76923, 0.19590
369.23077, 0.26846
430.76923, 0.30647
430.76923, 0.37678
430.76923, 0.39599
430.76923, 0.30515
430.76923, 0.48655
430.76923, 0.40871
738.46154, 0.37374
369.23077, 0.21569
369.23077, 0.35931
430.76923, 0.54318
492.30769, 0.45761
430.76923, 0.31772
1292.30769, 0.54226
1230.76923, 0.45208
430.76923, 0.38435
430.76923, 0.36907
430.76923, 0.22856
492.30769, 0.42859
430.76923, 0.45730
430.76923, 0.28981
430.76923, 0.41605
369.23077, 0.51950
430.76923, 0.55518
430.76923, 0.64506
430.76923, 0.35094
430.76923, 0.39195
369.23077, 0.30225
1723.07692, 0.41981
430.76923, 0.42943
2215.38462, 0.28727
1600.00000, 0.47671
430.76923, 0.36876
369.23077, 0.66189
492.30769, 0.43759
369.23077, 0.28348
430.76923, 0.50586
369.23077, 0.31598
369.23077, 0.32687
430.76923, 0.39377
369.23077, 0.42734
430.76923, 0.45682
430.76923, 0.36752
430.76923, 0.43669
430.76923, 0.51732
430.76923, 0.46422
430.76923, 0.60697
430.76923, 0.41615
553.84615, 0.53761
430.76923, 0.50121
369.23077, 0.45875
369.23077, 0.59128
492.30769, 0.43888
430.76923, 0.43753
369.23077, 0.80055
492.30769, 0.38760
430.76923, 0.26451
369.23077, 0.63648
430.76923, 0.50831
492.30769, 0.35252
430.76923, 0.37964
369.23077, 0.35507
430.76923, 0.53054
430.76923, 0.37999
553.84615, 0.45657
369.23077, 0.53548
369.23077, 0.54419
492.30769, 0.57335
430.76923, 0.39298
492.30769, 0.51957
430.76923, 0.50323
738.46154, 0.51579
430.76923, 0.48858
369.23077, 0.59989
430.76923, 0.61464
492.30769, 0.52253
430.76923, 0.58094
430.76923, 0.81204
369.23077, 0.88324
492.30769, 0.64949
492.30769, 0.51656
369.23077, 0.50970
369.23077, 0.46321
369.23077, 0.38666
430.76923, 0.61270
492.30769, 0.59343
369.23077, 0.43559
800.00000, 0.36081
369.23077, 0.38084
369.23077, 0.50425
369.23077, 0.47394
492.30769, 0.52319
553.84615, 0.55110
492.30769, 0.53310
369.23077, 0.44466
430.76923, 0.46542
369.23077, 0.56170
369.23077, 0.80203
492.30769, 0.55040
369.23077, 0.63153
369.23077, 0.56871
369.23077, 0.52839
492.30769, 0.58133
430.76923, 0.61215
430.76923, 0.49646
492.30769, 0.45543
492.30769, 0.56388
492.30769, 0.48561
738.46154, 0.45474
984.61538, 1.28746
430.76923, 0.61228
430.76923, 0.85063
369.23077, 0.48759
492.30769, 0.65612
492.30769, 0.47027
430.76923, 0.61525
369.23077, 0.41808
369.23077, 0.51850
430.76923, 0.43852
800.00000, 0.62063
430.76923, 0.55463
492.30769, 0.66676
369.23077, 0.56752
553.84615, 0.37970
369.23077, 0.57000
369.23077, 0.38912
492.30769, 0.40555
369.23077, 0.54783
430.76923, 0.43003
492.30769, 0.56354
369.23077, 0.83100
492.30769, 0.43649
492.30769, 0.41980
430.76923, 0.60515
369.23077, 0.64262
553.84615, 0.76700
369.23077, 0.74661
369.23077, 0.60535
369.23077, 0.36976
369.23077, 0.71018
492.30769, 0.69241
369.23077, 0.54620
369.23077, 0.58231
430.76923, 0.27685
430.76923, 0.45285
369.23077, 0.61592
430.76923, 0.55828
369.23077, 0.61794
369.23077, 0.64823
430.76923, 0.52720
492.30769, 0.47506
369.23077, 0.77627
430.76923, 0.63407
369.23077, 0.68446
430.76923, 1.08776
492.30769, 0.62878
369.23077, 0.59250
430.76923, 0.64375
369.23077, 0.78894
430.76923, 0.55814
369.23077, 0.64833
369.23077, 0.39704
369.23077, 0.43367
369.23077, 0.37224
369.23077, 0.46909
430.76923, 0.53163
492.30769, 0.82820
369.23077, 0.37876
369.23077, 0.53008
369.23077, 0.50996
492.30769, 0.55783
430.76923, 0.73637
369.23077, 0.47821
369.23077, 0.68206
430.76923, 0.54457
430.76923, 0.78293
430.76923, 0.57147
430.76923, 0.43393
553.84615, 0.47010
369.23077, 0.40017
430.76923, 0.42440
430.76923, 0.42847
369.23077, 0.44579
369.23077, 0.60711
369.23077, 0.44337
430.76923, 0.44577
369.23077, 0.60001
369.23077, 0.62462
738.46154, 0.46803
430.76923, 0.68045
369.23077, 0.52498
369.23077, 0.45594
430.76923, 0.27764
369.23077, 0.45436
430.76923, 0.57601
430.76923, 0.46353
492.30769, 0.63360
369.23077, 0.58748
369.23077, 0.45483
492.30769, 0.63878
430.76923, 0.41091
553.84615, 0.43360
430.76923, 0.72021
369.23077, 0.44224
369.23077, 0.44381
123.07692, 0.59290
369.23077, 0.43893
430.76923, 0.48029
369.23077, 0.46784
492.30769, 0.49028
430.76923, 0.34779
430.76923, 0.78927
430.76923, 0.55963
430.76923, 0.57579
430.76923, 0.68717
430.76923, 0.51772
430.76923, 0.56983
430.76923, 0.43444
430.76923, 0.49161
553.84615, 0.33481
369.23077, 0.34992
369.23077, 0.59843
430.76923, 0.54777
492.30769, 0.54831
369.23077, 0.35241
553.84615, 0.49098
369.23077, 0.56484
430.76923, 0.59004
430.76923, 0.65691
369.23077, 0.60010
492.30769, 0.49894
430.76923, 0.33887
430.76923, 0.59233
369.23077, 0.32268
369.23077, 0.40039
430.76923, 0.51443
369.23077, 0.53859
492.30769, 0.47006
492.30769, 0.57863
430.76923, 0.29407
369.23077, 0.47131
492.30769, 0.49562
369.23077, 0.44703
369.23077, 0.67022
430.76923, 0.63977
369.23077, 0.51315
369.23077, 0.75036
430.76923, 0.57111
492.30769, 0.50940
430.76923, 0.40565
369.23077, 0.42704
369.23077, 0.51293
492.30769, 0.40150
430.76923, 0.28408
492.30769, 0.27743
369.23077, 0.45213
369.23077, 0.66674
430.76923, 0.61331
369.23077, 0.60544
492.30769, 0.41831
492.30769, 0.58347
369.23077, 0.36921
1292.30769, 0.48764
430.76923, 0.54116
430.76923, 0.57706
430.76923, 0.39128
430.76923, 0.31484
369.23077, 0.37358
492.30769, 0.78824
430.76923, 0.50602
369.23077, 0.50901
369.23077, 0.56513
369.23077, 0.83542
492.30769, 0.60672
369.23077, 0.54841
369.23077, 0.52600
430.76923, 0.58911
492.30769, 0.47596
369.23077, 0.32389
553.84615, 0.40918
492.30769, 0.40736
369.23077, 0.41026
430.76923, 0.62073
492.30769, 0.35738
369.23077, 0.78665
430.76923, 0.50364
430.76923, 0.44607
430.76923, 0.46620
369.23077, 0.39453
430.76923, 0.51026
369.23077, 0.52693
430.76923, 0.56881
369.23077, 0.59727
492.30769, 0.52782
553.84615, 0.50712
369.23077, 0.41008
430.76923, 0.27416
369.23077, 1.79454
553.84615, 1.67093
369.23077, 0.44244
861.53846, 0.34120
430.76923, 0.28596
369.23077, 0.21229
430.76923, 1.62543
430.76923, 13.75575
492.30769, 11.57166
430.76923, 3.78586
430.76923, 12.40323
369.23077, 3.69799
430.76923, 1.46772
492.30769, 0.55077
1292.30769, 0.35189
369.23077, 0.34382
1230.76923, 0.15742
430.76923, 0.29333
492.30769, 9.70266
430.76923, 3.43081
676.92308, 5.73735
369.23077, 10.00793
307.69231, 0.87620
492.30769, 0.62666
1907.69231, 0.13991
430.76923, 0.16745
492.30769, 0.12371
492.30769, 0.14176
492.30769, 0.15636
492.30769, 0.16759
492.30769, 0.25821
430.76923, 0.12740
492.30769, 0.25556
369.23077, 0.26658
492.30769, 0.12116
492.30769, 0.12817
492.30769, 0.14166
369.23077, 0.14775
430.76923, 0.14875
307.69231, 0.10727
3076.92308, 0.12948
492.30769, 0.13774
492.30769, 0.12541
492.30769, 0.13125
430.76923, 0.12369
492.30769, 0.15487
430.76923, 0.17875
369.23077, 0.14864
492.30769, 0.25722
430.76923, 0.36046
492.30769, 0.26945
430.76923, 0.14330
492.30769, 0.23479
430.76923, 0.31065
369.23077, 0.24099
492.30769, 0.44757
430.76923, 0.41265
430.76923, 0.23147
492.30769, 0.17216
492.30769, 0.30959
615.38462, 0.19574
492.30769, 0.24190
369.23077, 0.18714
430.76923, 0.21796
307.69231, 0.25221
430.76923, 0.34463
430.76923, 0.42318
430.76923, 0.57560
369.23077, 0.26944
492.30769, 1.27030
492.30769, 0.33727
492.30769, 0.65744
369.23077, 0.44883
369.23077, 0.39276
430.76923, 0.29739
492.30769, 0.47800
430.76923, 0.32553
307.69231, 0.27918
553.84615, 0.27012
492.30769, 0.39760
369.23077, 0.34921
430.76923, 0.29587
492.30769, 0.91193
430.76923, 0.59579
492.30769, 0.54784
492.30769, 0.39637
430.76923, 0.51553
492.30769, 0.54428
369.23077, 0.83564
369.23077, 0.35315
492.30769, 0.51422
369.23077, 0.88812
492.30769, 0.23211
430.76923, 0.40841
492.30769, 0.44057
553.84615, 0.72805
369.23077, 0.33287
492.30769, 0.57157
492.30769, 0.45786
492.30769, 0.62540
492.30769, 0.58824
553.84615, 0.52045
492.30769, 0.60597
430.76923, 0.75659
492.30769, 0.48780
369.23077, 0.57022
492.30769, 0.49705
430.76923, 0.40817
430.76923, 0.58377
430.76923, 0.79034
492.30769, 0.58632
492.30769, 0.47623
553.84615, 0.72737
430.76923, 0.41525
492.30769, 0.56884
492.30769, 0.69563
430.76923, 0.54782
492.30769, 0.38082
492.30769, 0.67152
492.30769, 0.50897
430.76923, 0.52593
492.30769, 0.42402
492.30769, 0.69286
492.30769, 0.75056
369.23077, 0.50063
369.23077, 0.55122
492.30769, 0.53821
430.76923, 0.76385
430.76923, 0.78092
430.76923, 0.45184
553.84615, 0.52741
553.84615, 0.81091
369.23077, 0.92179
492.30769, 0.58907
492.30769, 0.56701
553.84615, 0.92597
492.30769, 0.45893
553.84615, 0.59635
430.76923, 0.65494
430.76923, 0.78217
430.76923, 0.58763
492.30769, 0.54139
430.76923, 0.59382
492.30769, 0.82292
492.30769, 0.68685
492.30769, 0.57293
369.23077, 0.60651
553.84615, 0.70637
492.30769, 0.59808
430.76923, 0.65729
492.30769, 0.49925
492.30769, 0.75012
553.84615, 0.53475
369.23077, 0.66062
369.23077, 0.61272
430.76923, 0.81779
430.76923, 1.17718
492.30769, 0.53015
369.23077, 0.35525
1169.23077, 1.33001
430.76923, 0.89453
2707.69231, 0.78294
492.30769, 0.57464
492.30769, 0.65808
492.30769, 0.76183
430.76923, 0.49725
430.76923, 0.81506
369.23077, 0.68639
492.30769, 0.98022
492.30769, 0.83607
430.76923, 0.77945
492.30769, 0.57664
492.30769, 0.67168
492.30769, 0.53744
369.23077, 0.69490
430.76923, 0.58991
430.76923, 0.62332
492.30769, 0.51727
430.76923, 0.75787
430.76923, 0.68178
430.76923, 0.95522
492.30769, 0.56580
430.76923, 0.48444
492.30769, 1.34531
430.76923, 0.57125
430.76923, 0.96604
492.30769, 0.94525
553.84615, 0.74893
369.23077, 0.63456
492.30769, 0.39918
369.23077, 0.39894
369.23077, 0.67788
492.30769, 0.52849
369.23077, 0.74426
369.23077, 0.31893
430.76923, 0.70326
430.76923, 0.63055
430.76923, 0.65293
492.30769, 0.46080
430.76923, 0.72272
430.76923, 0.66647
369.23077, 0.76155
369.23077, 0.72968
430.76923, 0.58677
430.76923, 0.60022
430.76923, 0.38185
430.76923, 0.71633
492.30769, 0.68241
369.23077, 0.76140
430.76923, 0.49361
492.30769, 1.10867
430.76923, 3.55564
1230.76923, 1.40486
492.30769, 0.44307
1292.30769, 2.24058
1230.76923, 0.70710
1230.76923, 0.82856
369.23077, 0.55510
369.23077, 0.34643
1169.23077, 0.14828
430.76923, 0.25012
369.23077, 0.21713
492.30769, 0.23385
2030.76923, 0.28944
492.30769, 0.18862
1353.84615, 0.40230
430.76923, 0.23557
1353.84615, 0.48741
1292.30769, 0.33855
184.61538, 0.23224
430.76923, 0.16737
430.76923, 0.17545
430.76923, 0.21214
369.23077, 0.28064
430.76923, 0.22570
430.76923, 0.21148
430.76923, 0.35832
430.76923, 0.32384
184.61538, 0.18662
1292.30769, 0.24566
369.23077, 0.28244
430.76923, 0.29281
492.30769, 0.27254
430.76923, 0.17200
1292.30769, 0.27296
430.76923, 0.55151
492.30769, 0.21623
184.61538, 0.23413
738.46154, 0.18854
430.76923, 0.23190
430.76923, 0.32611
369.23077, 0.25430
184.61538, 0.18858
430.76923, 0.26336
369.23077, 0.19723
369.23077, 0.20527
1353.84615, 0.24191
430.76923, 0.34430
369.23077, 0.27180
369.23077, 0.18819
430.76923, 0.17616
492.30769, 0.39828
492.30769, 0.37056
430.76923, 0.32710
492.30769, 0.26267
430.76923, 0.41177
430.76923, 0.24393
430.76923, 0.37559
492.30769, 0.68565
492.30769, 0.25003
492.30769, 0.21239
430.76923, 0.44237
492.30769, 0.32122
430.76923, 0.15050
492.30769, 0.21935
430.76923, 0.41172
430.76923, 0.57739
492.30769, 0.47166
492.30769, 0.18986
430.76923, 0.28536
1353.84615, 0.27229
430.76923, 0.49165
430.76923, 0.32494
492.30769, 0.36936
430.76923, 0.28407
492.30769, 0.42096
184.61538, 0.15294
492.30769, 0.44040
492.30769, 0.47680
492.30769, 0.32811
430.76923, 0.34816
430.76923, 0.61297
430.76923, 0.32337
430.76923, 0.25194
492.30769, 0.33296
430.76923, 0.28986
492.30769, 0.33497
430.76923, 0.43760
492.30769, 0.14938
430.76923, 0.21972
430.76923, 0.17499
307.69231, 0.20184
61.53846, 0.14855
430.76923, 0.38187
430.76923, 0.23754
430.76923, 0.30184
369.23077, 0.21495
492.30769, 0.27954
430.76923, 0.27897
430.76923, 0.28377
430.76923, 0.22242
430.76923, 0.24183
430.76923, 0.22971
430.76923, 0.27233
430.76923, 0.28048
430.76923, 0.46157
1353.84615, 0.17320
369.23077, 0.17716
492.30769, 0.43010
430.76923, 0.21210
492.30769, 0.30399
430.76923, 0.33375
553.84615, 0.19652
430.76923, 0.30560
123.07692, 0.16533
430.76923, 0.35505
369.23077, 0.21515
430.76923, 0.34732
492.30769, 0.17924
492.30769, 0.17766
430.76923, 0.17471
184.61538, 0.15273
492.30769, 0.29015
430.76923, 0.21726
369.23077, 0.35136
430.76923, 0.23276
430.76923, 0.23482
369.23077, 0.26491
430.76923, 0.18980
184.61538, 0.17364
492.30769, 0.26384
369.23077, 0.16377
430.76923, 0.24307
369.23077, 0.36612
307.69231, 0.17170
430.76923, 0.22386
184.61538, 0.15271
492.30769, 0.18634
430.76923, 0.21951
1230.76923, 0.25524
492.30769, 0.34898
369.23077, 0.20185
184.61538, 0.17739
430.76923, 0.24414
430.76923, 0.48104
430.76923, 0.33414
430.76923, 0.24293
430.76923, 0.26278
430.76923, 0.47096
184.61538, 0.15564
430.76923, 0.15871
492.30769, 0.20886
430.76923, 0.29204
307.69231, 0.18962
184.61538, 0.17302
1353.84615, 0.12553
430.76923, 0.22847
492.30769, 0.20938
430.76923, 0.27913
369.23077, 0.16748
492.30769, 0.28883
369.23077, 0.17362
492.30769, 0.38627
430.76923, 0.34147
430.76923, 0.20508
369.23077, 0.24064
184.61538, 0.17346
369.23077, 0.17679
430.76923, 0.15517
430.76923, 0.33033
430.76923, 0.30873
369.23077, 0.25517
430.76923, 0.32673
369.23077, 0.20660
430.76923, 0.32501
430.76923, 0.35167
430.76923, 0.26213
369.23077, 0.29604
369.23077, 0.24499
184.61538, 0.16377
369.23077, 0.26465
369.23077, 0.38613
430.76923, 0.21194
430.76923, 0.16642
430.76923, 0.24454
430.76923, 0.18982
492.30769, 0.15771
369.23077, 0.21011
430.76923, 0.19072
430.76923, 0.13051
184.61538, 0.17034
430.76923, 0.29178
369.23077, 0.22827
184.61538, 0.24277
492.30769, 0.16592
1046.15385, 0.19815
492.30769, 0.22580
492.30769, 0.20300
430.76923, 0.22572
184.61538, 0.22406
430.76923, 0.24151
430.76923, 0.20974
430.76923, 0.16623
430.76923, 0.33213
246.15385, 0.31051
369.23077, 0.34502
492.30769, 0.20251
369.23077, 0.17539
369.23077, 0.25738
369.23077, 0.31797
492.30769, 0.22012
369.23077, 0.15686
369.23077, 0.21693
492.30769, 0.15337
369.23077, 0.30632
369.23077, 0.19858
430.76923, 0.36106
430.76923, 0.21015
369.23077, 0.28530
430.76923, 0.13588
430.76923, 0.23494
369.23077, 0.23052
369.23077, 0.20627
430.76923, 0.22849
430.76923, 0.18965
369.23077, 0.32121
430.76923, 0.23574
430.76923, 0.20739
369.23077, 0.18854
184.61538, 0.23223
430.76923, 0.23397
369.23077, 0.21794
492.30769, 0.18599
430.76923, 0.28532
430.76923, 0.22037
184.61538, 0.25913
430.76923, 0.59849
369.23077, 0.32450
430.76923, 0.41795
492.30769, 0.21247
430.76923, 0.29577
1353.84615, 0.23532
246.15385, 0.18469
369.23077, 0.44556
430.76923, 1.14001
430.76923, 0.37563
246.15385, 0.24202
430.76923, 0.22118
430.76923, 0.42927
430.76923, 0.22243
369.23077, 0.24328
492.30769, 0.17299
369.23077, 0.19425
369.23077, 0.15961
369.23077, 0.31792
430.76923, 0.21138
430.76923, 0.14110
430.76923, 0.28610
430.76923, 0.23151
369.23077, 0.32433
184.61538, 0.20238
430.76923, 0.31968
123.07692, 0.35909
61.53846, 0.13574
430.76923, 0.26505
430.76923, 0.33333
369.23077, 0.32893
492.30769, 0.19465
492.30769, 0.21059
184.61538, 0.58163
430.76923, 0.14817
369.23077, 0.15359
430.76923, 0.17200
307.69231, 0.12320
369.23077, 0.16819
1107.69231, 0.16853
430.76923, 2.35910
307.69231, 0.46447
246.15385, 0.19390
369.23077, 0.22941
1538.46154, 0.28706
307.69231, 0.84741
430.76923, 0.45720
369.23077, 0.24009
1600.00000, 0.26530
492.30769, 2.70124
430.76923, 9.11748
369.23077, 11.81925
553.84615, 3.40892
430.76923, 1.87411
430.76923, 3.71824
492.30769, 10.67090
430.76923, 1.47181
307.69231, 1.22160
492.30769, 0.57867
430.76923, 0.36721
553.84615, 0.13913
369.23077, 0.68508
430.76923, 3.51327
430.76923, 1.56281
984.61538, 2.58788
1476.92308, 0.15340
1169.23077, 0.14432
492.30769, 0.15065
1476.92308, 0.11804
923.07692, 0.12181
369.23077, 0.14836
1476.92308, 0.16610
1169.23077, 0.17657
1107.69231, 0.11666
1169.23077, 0.14944
1230.76923, 0.24257
1169.23077, 0.16484
676.92308, 0.11842
430.76923, 0.12686
1292.30769, 0.15390
1230.76923, 0.17641
1230.76923, 0.16331
984.61538, 0.13892
307.69231, 0.11715
1107.69231, 0.29022
800.00000, 0.12963
246.15385, 0.15154
184.61538, 0.14298
4000.00000, 0.11246
1169.23077, 0.10822
861.53846, 0.12763
492.30769, 0.21900
246.15385, 0.12757
369.23077, 0.17050
430.76923, 0.16013
369.23077, 0.21997
430.76923, 0.35309
369.23077, 0.21587
492.30769, 0.37160
492.30769, 0.40768
492.30769, 0.57526
430.76923, 0.21852
307.69231, 0.39270
307.69231, 0.34264
307.69231, 0.50772
430.76923, 0.44635
369.23077, 0.73605
369.23077, 0.46539
369.23077, 0.98527
492.30769, 0.57262
492.30769, 0.85839
369.23077, 0.36558
369.23077, 0.66560
369.23077, 0.57756
492.30769, 0.67947
369.23077, 0.78250
369.23077, 0.73416
369.23077, 0.50266
369.23077, 0.57575
430.76923, 0.94152
430.76923, 1.34031
430.76923, 0.50138
369.23077, 0.89918
307.69231, 0.61347
369.23077, 0.53920
369.23077, 0.83852
369.23077, 0.66731
430.76923, 1.01632
369.23077, 0.43374
430.76923, 0.92620
492.30769, 0.63063
369.23077, 0.95136
307.69231, 1.01852
430.76923, 1.13531
492.30769, 1.19419
369.23077, 0.99315
430.76923, 0.58968
492.30769, 0.93001
430.76923, 0.55802
369.23077, 0.61602
430.76923, 0.52936
369.23077, 1.04741
430.76923, 1.03264
369.23077, 0.20861
307.69231, 0.11709
492.30769, 0.11241
553.84615, 0.11513
615.38462, 0.11780
1476.92308, 0.39563
492.30769, 0.24213
492.30769, 0.22757
430.76923, 0.75700
430.76923, 0.54662
430.76923, 0.97426
430.76923, 0.70820
492.30769, 0.81537
430.76923, 0.44876
430.76923, 0.61847
430.76923, 0.90275
430.76923, 1.02895
369.23077, 0.68887
369.23077, 1.24092
430.76923, 0.80244
492.30769, 0.99465
369.23077, 0.85880
369.23077, 0.82786
369.23077, 1.26527
492.30769, 0.86762
492.30769, 1.71513
430.76923, 0.66434
369.23077, 0.85285
369.23077, 0.77841
369.23077, 0.83663
369.23077, 0.91246
492.30769, 1.07281
430.76923, 1.17957
492.30769, 1.12072
369.23077, 1.35303
369.23077, 0.58473
369.23077, 0.76245
369.23077, 0.88855
492.30769, 1.09426
369.23077, 1.42783
369.23077, 0.92792
430.76923, 1.84188
369.23077, 0.65127
430.76923, 1.11064
369.23077, 1.02419
492.30769, 0.94358
369.23077, 0.89226
430.76923, 1.03785
369.23077, 0.87594
492.30769, 1.06807
430.76923, 0.83355
430.76923, 0.75798
430.76923, 0.80852
369.23077, 1.43919
430.76923, 1.01803
492.30769, 0.91918
369.23077, 1.12354
369.23077, 1.56660
492.30769, 1.17671
492.30769, 0.92489
430.76923, 0.94254
369.23077, 1.08853
492.30769, 1.06010
492.30769, 1.21242
430.76923, 0.68686
492.30769, 0.76193
492.30769, 0.60651
430.76923, 1.13634
430.76923, 1.54137
492.30769, 0.82585
369.23077, 0.60239
492.30769, 0.58594
430.76923, 0.27110
492.30769, 0.52158
492.30769, 0.81244
430.76923, 0.56173
430.76923, 0.57729
430.76923, 0.70037
430.76923, 0.83232
430.76923, 0.93776
369.23077, 0.82843
430.76923, 0.67499
430.76923, 0.94257
369.23077, 1.29007
369.23077, 0.57090
369.23077, 0.77265
430.76923, 1.02794
307.69231, 0.60527
369.23077, 0.93006
430.76923, 0.89326
369.23077, 0.91325
492.30769, 0.91377
369.23077, 0.98830
430.76923, 0.86525
430.76923, 0.72059
430.76923, 1.18143
430.76923, 1.12046
492.30769, 1.55745
369.23077, 1.14011
369.23077, 1.80723
492.30769, 1.22942
430.76923, 0.89967
492.30769, 1.33905
430.76923, 1.47489
369.23077, 1.07495
430.76923, 0.74800
430.76923, 0.64012
430.76923, 0.94808
369.23077, 1.13645
430.76923, 1.01364
492.30769, 1.43806
